Theatre_Name_Internal,Theatre_Name_Comparable,Circuit_Code,Circuit_Name,Metro,Metro_Rank,City,State,Postal_Code,Rtk_Theatre_No,Branch,Zone,Area,Date_Range_Gross,#_Screens,Latitude,Longitude,Prev_Year_Range_Gross,%,Period,Day,Fiscal_Week,Fiscal_Week_Count,Date,DayOfWeek,EEG,Category,Day_Count,Daily_MS
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$24,074",12,38.29,-77.51,"$19,459",24%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0593%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$21,608",13,32.40,-96.82,"$18,151",19%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0532%
Showbiz Cinemas Edmond + SDX,"Showbiz Cinemas Edmond + SDX (Edmond, OK)",EVOE,Es Vedra Cinemas,Oklahoma City,44,Edmond,OK,73034,991978,OC,Oklahoma County,"Edmond, OK","$18,813",10,35.69,-97.42,"$13,915",35%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0463%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$16,766",11,35.68,-105.95,"$13,853",21%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0413%
Showbiz Cinemas Kingwood + SDX,"Showbiz Cinemas Kingwood + SDX (Kingwood, TX)",EVOE,Es Vedra Cinemas,Houston,10,Kingwood,TX,77339,991146,DAL,Harris County,"Houston, TX - Caney","$15,924",15,30.07,-95.24,"$12,832",24%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0392%
Hooky Entertainment Delray Beach + SDX + IMAX,"EVO Entertainment Delray Beach + EVX + IMAX (Delray Beach, FL)",EVOE,Es Vedra Cinemas,West Palm Beach-Ft. Pierce,38,Delray Beach,FL,33446,991373,JAX,Palm Beach County,"Ft. Lauderdale, FL - Delray","$13,973",12,26.46,-80.19,"$12,973",8%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0344%
Showbiz Cinemas Fall Creek + SDX,"Showbiz Cinemas Fall Creek + SDX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77396,991677,DAL,Harris County,"Houston, TX - Cypress","$13,474",10,29.94,-95.24,"$14,738",-9%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0332%
Hooky Entertainment Baytown + IMAX,"Showbiz Cinemas Baytown + IMAX (Baytown, TX)",EVOE,Es Vedra Cinemas,Houston,10,Baytown,TX,77523,991646,DAL,Chambers County,"Baytown, TX","$12,150",10,29.82,-94.90,"$13,064",-7%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0299%
Hooky Entertainment Homestead + SDX + IMAX,"EVO Entertainment Homestead + EVX + IMAX (Homestead, FL)",EVOE,Es Vedra Cinemas,Miami-Ft. Lauderdale,16,Homestead,FL,33030,992088,JAX,Miami-Dade County,"Homestead, FL","$9,770",10,25.47,-80.48,"$13,782",-29%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0241%
Hooky Entertainment Cary + SDX,"EVO Entertainment Cary + EVX (Cary, NC)",EVOE,Es Vedra Cinemas,Raleigh-Durham (Fayetvlle),24,Cary,NC,27519,991650,CHA,Wake County,"Raleigh/Durham, NC - Research Triangle","$8,915",11,35.85,-78.89,"$7,280",22%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0219%
Hooky Entertainment Southlake Town Square + SDX,"EVO Entertainment Southlake Town Square + EVX (Southlake, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Southlake,TX,76092,990141,DAL,Tarrant County,"Fort Worth, TX - Grapevine","$8,680",8,32.94,-97.13,"$9,187",-6%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0214%
Times Square Grand Slam,"Times Square Grand Slam (Tyler, TX)",EVOE,Es Vedra Cinemas,Tyler-Longview(Lfkn&Ncgd),107,Tyler,TX,75703-3748,4189,DAL,Smith County,"Tyler, TX","$7,216",7,32.29,-95.30,"$7,221",-0%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0178%
Showbiz Cinemas Liberty Lakes + IMAX,"Showbiz Cinemas Liberty Lakes + IMAX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77049,991819,DAL,Harris County,"Houston, TX - East","$6,985",11,29.82,-95.17,"$6,180",13%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0172%
Violet Crown Charlottesville,"Violet Crown Charlottesville (Charlottesville, VA)",EVOE,Es Vedra Cinemas,Charlottesville,183,Charlottesville,VA,22902-5034,7514,DC,Charlottesville city,"Charlottesville, VA","$5,435",10,38.03,-78.48,"$2,125",156%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0134%
Bright Star Cinemas,"Bright Star Cinemas (Sulphur Springs, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Sulphur Springs,TX,75482,905233,DAL,Hopkins County,"Sulphur Springs, TX","$4,748",6,33.12,-95.59,"$3,720",28%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0117%
Movieworks 4,"Movieworks 4 (Jackson, WY)",EVOE,Es Vedra Cinemas,Idaho Fals-Pocatllo(Jcksn),160,Jackson,WY,83001-9408,5997,SLC,Teton County,"Jackson, WY","$4,638",4,43.47,-110.79,"$5,019",-8%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,,,1,0.0114%
Hooky Entertainment Addison + SDX,"EVO Entertainment Addison + EVX (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75254,991369,DAL,Dallas County,"Dallas, TX","$4,173",8,32.95,-96.81,,,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0103%
Violet Crown Austin,"Violet Crown Austin (Austin, TX)",EVOE,Es Vedra Cinemas,Austin,47,Austin,TX,78701,991245,DAL,Travis County,"Austin, TX - Downtown","$3,413",4,30.27,-97.75,"$2,701",26%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0084%
Violet Crown Dallas,"Violet Crown Dallas (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75204,9312,DAL,Dallas County,"Dallas, TX - Love Field","$2,176",5,32.81,-96.80,"$1,722",26%,Period 1,Friday,P1W1,1,29-12-2023,Weekend,Consolidated,Es Vedra,1,0.0054%
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$26,553",12,38.29,-77.51,"$16,289",63%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0610%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$19,174",13,32.40,-96.82,"$11,187",71%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0441%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$18,745",11,35.68,-105.95,"$9,585",96%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,,,2,0.0431%
Showbiz Cinemas Edmond + SDX,"Showbiz Cinemas Edmond + SDX (Edmond, OK)",EVOE,Es Vedra Cinemas,Oklahoma City,44,Edmond,OK,73034,991978,OC,Oklahoma County,"Edmond, OK","$18,182",10,35.69,-97.42,"$10,876",67%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0418%
Showbiz Cinemas Kingwood + SDX,"Showbiz Cinemas Kingwood + SDX (Kingwood, TX)",EVOE,Es Vedra Cinemas,Houston,10,Kingwood,TX,77339,991146,DAL,Harris County,"Houston, TX - Caney","$16,563",15,30.07,-95.24,"$5,705",190%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0381%
Hooky Entertainment Delray Beach + SDX + IMAX,"EVO Entertainment Delray Beach + EVX + IMAX (Delray Beach, FL)",EVOE,Es Vedra Cinemas,West Palm Beach-Ft. Pierce,38,Delray Beach,FL,33446,991373,JAX,Palm Beach County,"Ft. Lauderdale, FL - Delray","$16,204",12,26.46,-80.19,"$10,987",47%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0372%
Showbiz Cinemas Fall Creek + SDX,"Showbiz Cinemas Fall Creek + SDX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77396,991677,DAL,Harris County,"Houston, TX - Cypress","$14,594",10,29.94,-95.24,"$5,380",171%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0335%
Hooky Entertainment Baytown + IMAX,"Showbiz Cinemas Baytown + IMAX (Baytown, TX)",EVOE,Es Vedra Cinemas,Houston,10,Baytown,TX,77523,991646,DAL,Chambers County,"Baytown, TX","$12,675",10,29.82,-94.90,"$6,061",109%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0291%
Hooky Entertainment Cary + SDX,"EVO Entertainment Cary + EVX (Cary, NC)",EVOE,Es Vedra Cinemas,Raleigh-Durham (Fayetvlle),24,Cary,NC,27519,991650,CHA,Wake County,"Raleigh/Durham, NC - Research Triangle","$10,768",11,35.85,-78.89,"$6,153",75%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0247%
Hooky Entertainment Homestead + SDX + IMAX,"EVO Entertainment Homestead + EVX + IMAX (Homestead, FL)",EVOE,Es Vedra Cinemas,Miami-Ft. Lauderdale,16,Homestead,FL,33030,992088,JAX,Miami-Dade County,"Homestead, FL","$10,676",10,25.47,-80.48,"$5,860",82%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0245%
Hooky Entertainment Southlake Town Square + SDX,"EVO Entertainment Southlake Town Square + EVX (Southlake, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Southlake,TX,76092,990141,DAL,Tarrant County,"Fort Worth, TX - Grapevine","$7,984",8,32.94,-97.13,"$5,960",34%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0183%
Times Square Grand Slam,"Times Square Grand Slam (Tyler, TX)",EVOE,Es Vedra Cinemas,Tyler-Longview(Lfkn&Ncgd),107,Tyler,TX,75703-3748,4189,DAL,Smith County,"Tyler, TX","$7,512",7,32.29,-95.30,"$4,757",58%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0173%
Showbiz Cinemas Liberty Lakes + IMAX,"Showbiz Cinemas Liberty Lakes + IMAX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77049,991819,DAL,Harris County,"Houston, TX - East","$7,076",11,29.82,-95.17,"$3,473",104%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0163%
Violet Crown Charlottesville,"Violet Crown Charlottesville (Charlottesville, VA)",EVOE,Es Vedra Cinemas,Charlottesville,183,Charlottesville,VA,22902-5034,7514,DC,Charlottesville city,"Charlottesville, VA","$5,626",10,38.03,-78.48,"$3,218",75%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0129%
Movieworks 4,"Movieworks 4 (Jackson, WY)",EVOE,Es Vedra Cinemas,Idaho Fals-Pocatllo(Jcksn),160,Jackson,WY,83001-9408,5997,SLC,Teton County,"Jackson, WY","$4,816",4,43.47,-110.79,"$2,443",97%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,,,2,0.0111%
Bright Star Cinemas,"Bright Star Cinemas (Sulphur Springs, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Sulphur Springs,TX,75482,905233,DAL,Hopkins County,"Sulphur Springs, TX","$4,122",6,33.12,-95.59,"$2,428",70%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,,,2,0.0095%
Hooky Entertainment Addison + SDX,"EVO Entertainment Addison + EVX (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75254,991369,DAL,Dallas County,"Dallas, TX","$3,367",8,32.95,-96.81,,,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0077%
Violet Crown Austin,"Violet Crown Austin (Austin, TX)",EVOE,Es Vedra Cinemas,Austin,47,Austin,TX,78701,991245,DAL,Travis County,"Austin, TX - Downtown","$3,088",4,30.27,-97.75,"$1,151",168%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0071%
Violet Crown Dallas,"Violet Crown Dallas (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75204,9312,DAL,Dallas County,"Dallas, TX - Love Field","$2,380",5,32.81,-96.80,$887,168%,Period 1,Saturday,P1W1,1,30-12-2023,Weekend,Consolidated,Es Vedra,2,0.0055%
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$14,985",12,38.29,-77.51,"$19,328",-22%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0595%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$13,262",11,35.68,-105.95,"$15,888",-17%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,,,3,0.0526%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$11,436",13,32.40,-96.82,"$21,272",-46%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0454%
Hooky Entertainment Delray Beach + SDX + IMAX,"EVO Entertainment Delray Beach + EVX + IMAX (Delray Beach, FL)",EVOE,Es Vedra Cinemas,West Palm Beach-Ft. Pierce,38,Delray Beach,FL,33446,991373,JAX,Palm Beach County,"Ft. Lauderdale, FL - Delray","$10,057",12,26.46,-80.19,"$25,200",-60%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0399%
Showbiz Cinemas Edmond + SDX,"Showbiz Cinemas Edmond + SDX (Edmond, OK)",EVOE,Es Vedra Cinemas,Oklahoma City,44,Edmond,OK,73034,991978,OC,Oklahoma County,"Edmond, OK","$9,647",10,35.69,-97.42,"$20,288",-52%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0383%
Hooky Entertainment Cary + SDX,"EVO Entertainment Cary + EVX (Cary, NC)",EVOE,Es Vedra Cinemas,Raleigh-Durham (Fayetvlle),24,Cary,NC,27519,991650,CHA,Wake County,"Raleigh/Durham, NC - Research Triangle","$6,040",11,35.85,-78.89,"$8,840",-32%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0240%
Showbiz Cinemas Kingwood + SDX,"Showbiz Cinemas Kingwood + SDX (Kingwood, TX)",EVOE,Es Vedra Cinemas,Houston,10,Kingwood,TX,77339,991146,DAL,Harris County,"Houston, TX - Caney","$5,944",15,30.07,-95.24,"$15,106",-61%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0236%
Hooky Entertainment Southlake Town Square + SDX,"EVO Entertainment Southlake Town Square + EVX (Southlake, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Southlake,TX,76092,990141,DAL,Tarrant County,"Fort Worth, TX - Grapevine","$5,702",8,32.94,-97.13,"$12,793",-55%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0226%
Hooky Entertainment Baytown + IMAX,"Showbiz Cinemas Baytown + IMAX (Baytown, TX)",EVOE,Es Vedra Cinemas,Houston,10,Baytown,TX,77523,991646,DAL,Chambers County,"Baytown, TX","$4,363",10,29.82,-94.90,"$13,790",-68%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0173%
Violet Crown Charlottesville,"Violet Crown Charlottesville (Charlottesville, VA)",EVOE,Es Vedra Cinemas,Charlottesville,183,Charlottesville,VA,22902-5034,7514,DC,Charlottesville city,"Charlottesville, VA","$4,319",10,38.03,-78.48,"$2,811",54%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0171%
Showbiz Cinemas Fall Creek + SDX,"Showbiz Cinemas Fall Creek + SDX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77396,991677,DAL,Harris County,"Houston, TX - Cypress","$3,998",10,29.94,-95.24,"$17,743",-77%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0159%
Times Square Grand Slam,"Times Square Grand Slam (Tyler, TX)",EVOE,Es Vedra Cinemas,Tyler-Longview(Lfkn&Ncgd),107,Tyler,TX,75703-3748,4189,DAL,Smith County,"Tyler, TX","$2,820",7,32.29,-95.30,"$7,693",-63%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0112%
Hooky Entertainment Homestead + SDX + IMAX,"EVO Entertainment Homestead + EVX + IMAX (Homestead, FL)",EVOE,Es Vedra Cinemas,Miami-Ft. Lauderdale,16,Homestead,FL,33030,992088,JAX,Miami-Dade County,"Homestead, FL","$2,317",10,25.47,-80.48,"$23,849",-90%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0092%
Bright Star Cinemas,"Bright Star Cinemas (Sulphur Springs, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Sulphur Springs,TX,75482,905233,DAL,Hopkins County,"Sulphur Springs, TX","$2,290",6,33.12,-95.59,"$3,706",-38%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,,,3,0.0091%
Movieworks 4,"Movieworks 4 (Jackson, WY)",EVOE,Es Vedra Cinemas,Idaho Fals-Pocatllo(Jcksn),160,Jackson,WY,83001-9408,5997,SLC,Teton County,"Jackson, WY","$2,284",4,43.47,-110.79,"$4,600",-50%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,,,3,0.0091%
Showbiz Cinemas Liberty Lakes + IMAX,"Showbiz Cinemas Liberty Lakes + IMAX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77049,991819,DAL,Harris County,"Houston, TX - East","$1,633",11,29.82,-95.17,"$12,816",-87%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0065%
Violet Crown Austin,"Violet Crown Austin (Austin, TX)",EVOE,Es Vedra Cinemas,Austin,47,Austin,TX,78701,991245,DAL,Travis County,"Austin, TX - Downtown","$1,461",4,30.27,-97.75,"$3,647",-60%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0058%
Hooky Entertainment Addison + SDX,"EVO Entertainment Addison + EVX (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75254,991369,DAL,Dallas County,"Dallas, TX","$1,166",8,32.95,-96.81,,,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0046%
Violet Crown Dallas,"Violet Crown Dallas (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75204,9312,DAL,Dallas County,"Dallas, TX - Love Field",$914,5,32.81,-96.80,"$1,937",-53%,Period 1,Sunday,P1W1,1,31-12-2023,Weekend,Consolidated,Es Vedra,3,0.0036%
Violet Crown Santa Fe,"Violet Crown Santa Fe (Santa Fe, NM)",EVOE,Es Vedra Cinemas,Albuquerque-Santa Fe,45,Santa Fe,NM,87501,991638,DEN,Santa Fe County,"Santa Fe, NM","$17,630",11,35.68,-105.95,"$11,661",51%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,,,4,0.0559%
Hooky Entertainment Waxahachie + IMAX,"EVO Entertainment Waxahachie + IMAX (Waxahachie, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Waxahachie,TX,75165,990959,DAL,Ellis County,"Waxahachie, TX","$15,488",13,32.40,-96.82,"$17,617",-12%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0491%
Hooky Entertainment Fredericksburg + SDX,"EVO Entertainment Fredericksburg + EVX (Fredericksburg, VA)",EVOE,Es Vedra Cinemas,"Washington, DC (Hagrstwn)",8,Fredericksburg,VA,22407,991106,DC,Spotsylvania County,Fredericksburg VA,"$14,825",12,38.29,-77.51,"$16,840",-12%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0470%
Showbiz Cinemas Edmond + SDX,"Showbiz Cinemas Edmond + SDX (Edmond, OK)",EVOE,Es Vedra Cinemas,Oklahoma City,44,Edmond,OK,73034,991978,OC,Oklahoma County,"Edmond, OK","$14,614",10,35.69,-97.42,"$13,389",9%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0464%
Hooky Entertainment Delray Beach + SDX + IMAX,"EVO Entertainment Delray Beach + EVX + IMAX (Delray Beach, FL)",EVOE,Es Vedra Cinemas,West Palm Beach-Ft. Pierce,38,Delray Beach,FL,33446,991373,JAX,Palm Beach County,"Ft. Lauderdale, FL - Delray","$11,897",12,26.46,-80.19,"$12,932",-8%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0377%
Showbiz Cinemas Kingwood + SDX,"Showbiz Cinemas Kingwood + SDX (Kingwood, TX)",EVOE,Es Vedra Cinemas,Houston,10,Kingwood,TX,77339,991146,DAL,Harris County,"Houston, TX - Caney","$10,902",15,30.07,-95.24,"$13,019",-16%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0346%
Showbiz Cinemas Fall Creek + SDX,"Showbiz Cinemas Fall Creek + SDX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77396,991677,DAL,Harris County,"Houston, TX - Cypress","$8,659",10,29.94,-95.24,"$12,612",-31%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0275%
Hooky Entertainment Homestead + SDX + IMAX,"EVO Entertainment Homestead + EVX + IMAX (Homestead, FL)",EVOE,Es Vedra Cinemas,Miami-Ft. Lauderdale,16,Homestead,FL,33030,992088,JAX,Miami-Dade County,"Homestead, FL","$8,001",10,25.47,-80.48,"$14,082",-43%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0254%
Hooky Entertainment Southlake Town Square + SDX,"EVO Entertainment Southlake Town Square + EVX (Southlake, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Southlake,TX,76092,990141,DAL,Tarrant County,"Fort Worth, TX - Grapevine","$7,937",8,32.94,-97.13,"$8,372",-5%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0252%
Hooky Entertainment Baytown + IMAX,"Showbiz Cinemas Baytown + IMAX (Baytown, TX)",EVOE,Es Vedra Cinemas,Houston,10,Baytown,TX,77523,991646,DAL,Chambers County,"Baytown, TX","$7,435",10,29.82,-94.90,"$11,935",-38%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0236%
Hooky Entertainment Cary + SDX,"EVO Entertainment Cary + EVX (Cary, NC)",EVOE,Es Vedra Cinemas,Raleigh-Durham (Fayetvlle),24,Cary,NC,27519,991650,CHA,Wake County,"Raleigh/Durham, NC - Research Triangle","$7,126",11,35.85,-78.89,"$5,559",28%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0226%
Times Square Grand Slam,"Times Square Grand Slam (Tyler, TX)",EVOE,Es Vedra Cinemas,Tyler-Longview(Lfkn&Ncgd),107,Tyler,TX,75703-3748,4189,DAL,Smith County,"Tyler, TX","$5,245",7,32.29,-95.30,"$6,748",-22%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0166%
Showbiz Cinemas Liberty Lakes + IMAX,"Showbiz Cinemas Liberty Lakes + IMAX (Houston, TX)",EVOE,Es Vedra Cinemas,Houston,10,Houston,TX,77049,991819,DAL,Harris County,"Houston, TX - East","$4,610",11,29.82,-95.17,"$7,379",-38%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0146%
Violet Crown Charlottesville,"Violet Crown Charlottesville (Charlottesville, VA)",EVOE,Es Vedra Cinemas,Charlottesville,183,Charlottesville,VA,22902-5034,7514,DC,Charlottesville city,"Charlottesville, VA","$3,295",10,38.03,-78.48,"$2,223",48%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0105%
Movieworks 4,"Movieworks 4 (Jackson, WY)",EVOE,Es Vedra Cinemas,Idaho Fals-Pocatllo(Jcksn),160,Jackson,WY,83001-9408,5997,SLC,Teton County,"Jackson, WY","$3,086",4,43.47,-110.79,"$3,857",-20%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,,,4,0.0098%
Bright Star Cinemas,"Bright Star Cinemas (Sulphur Springs, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Sulphur Springs,TX,75482,905233,DAL,Hopkins County,"Sulphur Springs, TX","$2,864",6,33.12,-95.59,"$2,768",3%,Period 1,Monday,P1W1,1,01-01-2024,Weekday,,,4,0.0091%
Hooky Entertainment Addison + SDX,"EVO Entertainment Addison + EVX (Dallas, TX)",EVOE,Es Vedra Cinemas,Dallas-Ft. Worth,5,Dallas,TX,75254,991369,DAL,Dallas County,"Dallas, TX","$2,224",8,32.95,-96.81,,,Period 1,Monday,P1W1,1,01-01-2024,Weekday,Consolidated,Es Vedra,4,0.0071%
